run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v1_B_base_openrouter_20260602T123336025846,v1,v1+p6b19afe1679d+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260602T123336025846,v1,v1+p6b19afe1679d+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260602T123336025846,v1,v1+p6b19afe1679d+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,extra_tool_call,lookup,lookup|social_search,False,False,False,extra tool call social_search
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260602T123628881196,v2,v2+p966e34ae394a+t727048c714a1,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260602T123846242430,v3,v3+pa8ca0c40b759+t29bbb44587af,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G01_timeline_vs_search,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G02_topic_on_twitter,False,wrong_tool,wrong_arg_value,social_search,social_search,False,True,False,"query: expected 'Claude', got 'Claude 4'"
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G03_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G04_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G05_translate_oos,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G06_clarify_then_timeline,True,missing_info,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G07_limit_correction,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G08_drop_twitter_for_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G09_telegram_confirm,True,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v3_B_group_openrouter_20260602T123928691271,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G10_dedupe_items,False,wrong_tool,,dedupe,dedupe,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G01_timeline_vs_search,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G02_topic_on_twitter,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G03_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G04_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G05_translate_oos,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G06_clarify_then_timeline,True,missing_info,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G07_limit_correction,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G08_drop_twitter_for_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G09_telegram_confirm,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260602T124015560825,v3,v3+pa8ca0c40b759+t29bbb44587af,group,G10_dedupe_items,False,wrong_tool,,dedupe,dedupe,True,True,True,
